Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
Pathaan,tt12844910,146.0,Jan,5.8,160670.0
Baahubali 2 The Conclusion,tt4849438,167.0,Apr,8.2,124249.0
Dangal,tt5074352,161.0,Dec,8.3,229403.0
Sanju,tt6452574,155.0,Jun,7.6,63305.0
PK,tt2338151,153.0,Dec,8.1,212778.0
Tiger Zinda Hai,tt5956100,161.0,Dec,5.9,34819.0
Bajrangi Bhaijaan,tt3863552,163.0,Jul,8.1,105349.0
War,tt0499556,103.0,Aug,6.2,98320.0
Padmaavat,tt5935704,163.0,Jan,7.1,38405.0
Sultan,tt4832640,170.0,Jul,7.1,53442.0
Kabir Singh,tt8983202,173.0,Jun,7.0,42014.0
Tanhaji: The Unsung Warrior,tt8108274,135.0,Jan,7.5,36561.0
RRR,tt8178634,187.0,Mar,7.8,179459.0
Dhoom 3,tt1833673,172.0,Dec,5.4,51186.0
The Kashmir Files,tt10811166,170.0,Mar,8.6,575455.0
Brahmastra Part One: Shiva,tt6277462,167.0,Sep,5.6,112987.0
URI The Surgical Strike,tt8291224,138.0,Jan,8.2,74787.0
Simmba,tt7212726,158.0,Dec,5.5,22823.0
Drishyam 2,tt15501640,140.0,Nov,8.2,47406.0
Kick,tt2372222,146.0,Jul,6.0,74314.0
Krrish 3,tt1029231,152.0,Nov,5.3,26039.0
Chennai Express,tt2112124,141.0,Aug,6.2,68030.0
Bharat,tt7721800,150.0,Jun,4.7,32794.0
Housefull 4,tt7721946,145.0,Oct,3.6,14640.0
Prem Ratan Dhan Payo,tt3595298,164.0,Nov,4.4,24141.0
Golmaal Again,tt1806913,140.0,Oct,5.0,11032.0
Good Newwz,tt8504014,134.0,Dec,6.8,22703.0
Mission Mangal,tt9248972,130.0,Aug,6.5,18330.0
3 Idiots,tt1187043,170.0,Dec,8.4,460337.0
Happy New Year,tt2461132,180.0,Oct,5.0,42555.0
Ek Tha Tiger,tt2016894,132.0,Aug,5.6,39439.0
Sooryavanshi,tt9531772,145.0,Nov,5.8,80552.0
2,tt0103064,137.0,Jul,8.6,1241481.0
Yeh Jawaani Hai Deewani,tt2178470,160.0,May,7.3,54074.0
Bhool Bhulaiyaa 2,tt6455162,143.0,May,5.7,35287.0
Bajirao Mastani,tt3735246,158.0,Dec,7.3,39680.0
Bang Bang!,tt3701644,12.0,Nov,7.7,46.0
Race 3,tt7431594,160.0,Jun,1.9,49315.0
Baaghi 2,tt6843812,137.0,Mar,4.8,11963.0
Raees,tt3405236,143.0,Jan,6.6,52595.0
Kesari,tt6264938,150.0,Mar,7.4,24169.0
Total Dhamaal,tt7639372,130.0,Feb,4.2,8150.0
Dabangg 2,tt2112131,120.0,Dec,4.8,20343.0
Chhichhore,tt9052870,143.0,Sep,8.3,68316.0
Tanu Weds Manu Returns,tt2140465,128.0,May,7.6,29966.0
Bodyguard,tt7493974,60.0,Oct,8.0,161571.0
Dilwale,tt4535650,158.0,Dec,5.1,39547.0
Super 30,tt7485048,154.0,Jul,7.9,38301.0
Dabangg 3,tt7059844,160.0,Dec,3.0,20614.0
Saaho,tt6836936,170.0,Aug,5.1,24895.0
Thugs Of Hindostan,tt5970844,164.0,Nov,4.1,22257.0
Dream Girl,tt9248940,132.0,Sep,7.0,17488.0
Singham Returns,tt2309764,142.0,Aug,5.7,10803.0
Dabangg,tt1620719,126.0,Sep,6.2,35017.0
Gully Boy,tt2395469,154.0,Feb,7.9,44564.0
Judwaa 2,tt5456546,145.0,Sep,3.7,12256.0
Badhaai Ho,tt7725596,124.0,Oct,7.9,38724.0
The Kerala Story,tt24268454,138.0,May,6.9,73942.0
Rowdy Rathore,tt2077833,140.0,Jun,5.8,24878.0
M.S. Dhoni: The Untold Story,tt4169250,184.0,Sep,8.0,71851.0
Gangubai Kathiawadi,tt10083340,152.0,Feb,7.8,64383.0
Stree,tt8108202,128.0,Aug,7.5,43429.0
Airlift,tt4387040,130.0,Jan,7.9,59531.0
Avatar: The Way of Water,tt1630029,192.0,Dec,7.5,539759.0
Rustom,tt5165344,148.0,Aug,7.0,29545.0
Raazi,tt7098658,138.0,May,7.7,34863.0
Ready,tt1708532,145.0,Jun,4.9,20101.0
Jab Tak Hai Jaan,tt2176013,176.0,Nov,6.7,61048.0
