,Unnamed: 0,SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
0,0,1,Pathaan,10500000000,5240000000,6570000000,3920000000,2500000000,All Time Blockbuster,tt12844910,146.0,Jan,5.8,160670.0
1,1,2,Baahubali 2 The Conclusion,17880000000,5100000000,14160000000,3710000000,2500000000,All Time Blockbuster,tt4849438,167.0,Apr,8.2,124249.0
2,3,4,Dangal,20700000000,3740000000,5350000000,15350000000,700000000,All Time Blockbuster,tt5074352,161.0,Dec,8.3,229403.0
3,4,5,Sanju,5880000000,3420000000,4380000000,1500000000,1000000000,All Time Blockbuster,tt6452574,155.0,Jun,7.6,63305.0
4,5,6,PK,7920000000,3400000000,4890000000,3030000000,850000000,All Time Blockbuster,tt2338151,153.0,Dec,8.1,212778.0
5,6,7,Tiger Zinda Hai,5580000000,3390000000,4330000000,1240000000,2100000000,Blockbuster,tt5956100,161.0,Dec,5.9,34819.0
6,7,8,Bajrangi Bhaijaan,9220000000,3200000000,4320000000,4890000000,900000000,All Time Blockbuster,tt3863552,163.0,Jul,8.1,105349.0
7,8,9,War,4710000000,3030000000,3750000000,960000000,1500000000,Blockbuster,tt0499556,103.0,Aug,6.2,98320.0
8,9,10,Padmaavat,5850000000,3020000000,4000000000,1850000000,2150000000,Blockbuster,tt5935704,163.0,Jan,7.1,38405.0
9,10,11,Sultan,6270000000,3000000000,4210000000,2060000000,800000000,Blockbuster,tt4832640,170.0,Jul,7.1,53442.0
10,11,12,Kabir Singh,3770000000,2780000000,3300000000,470000000,550000000,All Time Blockbuster,tt8983202,173.0,Jun,7.0,42014.0
11,12,13,Tanhaji: The Unsung Warrior,3610000000,2770000000,3250000000,360000000,1500000000,Blockbuster,tt8108274,135.0,Jan,7.5,36561.0
12,13,14,RRR,12300000000,2720000000,9150000000,3140000000,5500000000,Blockbuster,tt8178634,187.0,Mar,7.8,179459.0
13,14,15,Dhoom 3,5580000000,2710000000,3720000000,1860000000,1750000000,All Time Blockbuster,tt1833673,172.0,Dec,5.4,51186.0
14,15,16,The Kashmir Files,3410000000,2520000000,2950000000,460000000,200000000,All Time Blockbuster,tt10811166,170.0,Mar,8.6,575455.0
15,16,17,Brahmastra Part One: Shiva,4310000000,2490000000,3180000000,1130000000,3500000000,Hit,tt6277462,167.0,Sep,5.6,112987.0
16,17,18,URI The Surgical Strike,3410000000,2440000000,2930000000,480000000,700000000,All Time Blockbuster,tt8291224,138.0,Jan,8.2,74787.0
17,18,19,Simmba,3900000000,2400000000,2950000000,950000000,900000000,Blockbuster,tt7212726,158.0,Dec,5.5,22823.0
18,19,20,Drishyam 2,3420000000,2390000000,2820000000,590000000,500000000,All Time Blockbuster,tt15501640,140.0,Nov,8.2,47406.0
19,20,21,Kick,3780000000,2310000000,3100000000,680000000,1000000000,SuperHit,tt2372222,146.0,Jul,6.0,74314.0
20,21,22,Krrish 3,3740000000,2310000000,3130000000,610000000,940000000,Blockbuster,tt1029231,152.0,Nov,5.3,26039.0
21,22,23,Chennai Express,4220000000,2270000000,3100000000,1120000000,1150000000,SuperHit,tt2112124,141.0,Aug,6.2,68030.0
22,23,24,Bharat,3210000000,2120000000,2510000000,700000000,1650000000,Hit,tt7721800,150.0,Jun,4.7,32794.0
23,24,25,Housefull 4,2960000000,2100000000,2470000000,490000000,1750000000,SuperHit,tt7721946,145.0,Oct,3.6,14640.0
24,25,26,Prem Ratan Dhan Payo,4050000000,2100000000,3100000000,950000000,1800000000,SuperHit,tt3595298,164.0,Nov,4.4,24141.0
25,26,27,Golmaal Again,3080000000,2050000000,2620000000,450000000,800000000,Blockbuster,tt1806913,140.0,Oct,5.0,11032.0
26,27,28,Good Newwz,3160000000,2050000000,2420000000,740000000,600000000,Blockbuster,tt8504014,134.0,Dec,6.8,22703.0
27,28,29,Mission Mangal,2900000000,2030000000,2360000000,540000000,400000000,Blockbuster,tt9248972,130.0,Aug,6.5,18330.0
28,29,30,3 Idiots,4600000000,2020000000,2740000000,1860000000,550000000,All Time Blockbuster,tt1187043,170.0,Dec,8.4,460337.0
29,30,31,Happy New Year,3970000000,1990000000,2950000000,1020000000,1500000000,Hit,tt2461132,180.0,Oct,5.0,42555.0
30,31,32,Ek Tha Tiger,3200000000,1980000000,2630000000,570000000,750000000,Blockbuster,tt2016894,132.0,Aug,5.6,39439.0
31,32,33,Sooryavanshi,2930000000,1950000000,2300000000,620000000,1800000000,SuperHit,tt9531772,145.0,Nov,5.8,80552.0
32,33,34,2,7440000000,1900000000,5510000000,1930000000,5430000000,Average,tt0103064,137.0,Jul,8.6,1241481.0
33,34,35,Yeh Jawaani Hai Deewani,3180000000,1880000000,2420000000,760000000,750000000,Blockbuster,tt2178470,160.0,May,7.3,54074.0
34,35,36,Bhool Bhulaiyaa 2,2650000000,1840000000,2160000000,490000000,800000000,Blockbuster,tt6455162,143.0,May,5.7,35287.0
35,36,37,Bajirao Mastani,3620000000,1840000000,2630000000,990000000,1450000000,Hit,tt3735246,158.0,Dec,7.3,39680.0
36,37,38,Bang Bang!,3400000000,1740000000,2700000000,700000000,1600000000,Hit,tt3701644,12.0,Nov,7.7,46.0
37,38,39,Race 3,3000000000,1690000000,2170000000,830000000,1700000000,Average,tt7431594,160.0,Jun,1.9,49315.0
38,39,40,Baaghi 2,2570000000,1650000000,2110000000,450000000,750000000,Blockbuster,tt6843812,137.0,Mar,4.8,11963.0
39,40,41,Raees,2850000000,1640000000,2270000000,570000000,920000000,Hit,tt3405236,143.0,Jan,6.6,52595.0
40,41,42,Kesari,2080000000,1550000000,1830000000,250000000,1000000000,Hit,tt6264938,150.0,Mar,7.4,24169.0
41,42,43,Total Dhamaal,2320000000,1550000000,1830000000,480000000,1050000000,SuperHit,tt7639372,130.0,Feb,4.2,8150.0
42,43,44,Dabangg 2,2650000000,1550000000,2260000000,390000000,840000000,Blockbuster,tt2112131,120.0,Dec,4.8,20343.0
