Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
K.G.F: Chapter 2,tt10698680,166.0,Apr,8.2,159505.0
Tu Jhoothi Main Makkaar,tt8672856,150.0,Mar,6.0,28531.0
Toilet: A Love Story,tt5785170,155.0,Aug,7.2,23604.0
The Bride of Badrinath,tt6277440,139.0,Mar,6.1,14300.0
Goliyon Ki Raasleela Ram Leela,tt2215477,150.0,Nov,6.4,22740.0
Avengers Civil War Stop Motion: End Game,tt9511690,15.0,Dec,8.2,45.0
Don 2,tt1285241,148.0,Dec,7.1,59903.0
Jug Jugg Jeeyo,tt13449624,148.0,Jun,6.1,39267.0
Pad Man,tt7218518,140.0,Feb,7.9,30804.0
Singh Is King,tt1146325,135.0,Aug,5.8,16909.0
Once Upon a Time in Mumbaai Dobara,tt1891884,160.0,Aug,4.4,7642.0
Kyaa Kool Hain Hum 3,tt5290620,124.0,Jan,2.0,4558.0
Shubh Mangal Savdhan,tt6971752,119.0,Sep,6.9,11287.0
Phata Poster Nikhla Hero,tt2615584,146.0,Sep,4.9,5624.0
Seeking True Love,tt6967980,116.0,Aug,7.5,26451.0
NH 10,tt3742284,115.0,Mar,7.2,14293.0
CC2C,tt1091229,154.0,Jan,4.3,9910.0
Husband Material,tt5474036,156.0,Sep,6.9,9399.0
Haunted - 3D,tt1887763,143.0,May,6.3,2769.0
Raaz: The Mystery Continues,tt1340838,151.0,Jan,5.7,4080.0
Ponniyin Selvan: Part I,tt10701074,167.0,Sep,7.6,37168.0
Hate Story IV,tt5325684,131.0,Mar,3.4,1888.0
Commando,tt2658126,124.0,Apr,6.3,6090.0
Zila Ghaziabad,tt2171454,142.0,Feb,3.7,1503.0
Ponniyin Selvan: Part Two,tt22444570,164.0,Apr,7.2,19294.0
Irudhi Suttru,tt5310090,109.0,Jan,7.6,12652.0
Khamoshiyan,tt3886444,122.0,Jan,4.0,1528.0
Khuda Haafiz: Chapter 2 - Agni Pariksha,tt13022984,144.0,Jul,7.4,15150.0
Mirza's Lady,tt4940456,129.0,Oct,4.6,1930.0
The Brawler,tt7180544,154.0,Jan,8.0,8854.0
Pyaar Ka Punchnama,tt1926313,149.0,May,7.6,22942.0
Om - The Battle Within,tt9115574,135.0,Jul,2.9,2204.0
Haseena,tt6512784,135.0,Sep,5.1,8673.0
Me and Mrs. Khanna,tt1174041,109.0,Oct,3.4,3384.0
Psycho Raman,tt5662932,133.0,Jun,7.3,16389.0
"Brother, Superhit!",tt2150177,139.0,Nov,3.9,663.0
Black Lightning: Family of Strength,tt10059184,,Jun,,
Tum Bin II,tt5717110,147.0,Nov,4.8,1440.0
Dhokha,tt10644708,122.0,Sep,6.2,12378.0
Mard Ko Dard Nahi Hota,tt10075030,,Mar,,
