Movie,IndiaNet,IndiaGross,Overseas,Worldwide,imdb_id,tmdb_id,imdb_rating,runtime,rating_count,budget,Verdict
Dangal,387.38,538.03,1430.0,1968.03,tt5074352,360814.0,7.887,161.0,1054.0,10400000.0,Blockbuster
Jawan,643.87,761.98,386.34,1148.32,tt15354916,872906.0,7.112,169.0,286.0,36150000.0,Blockbuster
Pathaan,543.05,654.28,396.02,1050.3,tt12844910,864692.0,6.4,146.0,212.0,30270000.0,Blockbuster
Bajrangi Bhaijaan,320.34,444.92,473.26,918.18,tt3863552,348892.0,7.8,159.0,502.0,13000000.0,Blockbuster
Animal,556.36,662.33,255.49,917.82,tt13751694,781732.0,6.2,201.0,149.0,13000000.0,Blockbuster
Secret Superstar,63.4,81.28,794.5,875.78,tt6108090,441889.0,7.3,150.0,176.0,286284.0,Blockbuster
Stree 2,627.02,740.28,134.3,874.58,tt27510174,1112426.0,6.75,143.0,66.0,500.0,Blockbuster
PK,340.8,473.33,296.56,769.89,tt2338151,297222.0,7.713,153.0,1052.0,13000000.0,Blockbuster
Gadar 2,525.45,625.54,65.54,691.08,tt15441054,885331.0,6.091,168.0,45.0,13000000.0,Blockbuster
Sultan,300.45,417.29,197.2,614.49,tt4832640,376812.0,6.9,170.0,236.0,10400000.0,Blockbuster
Sanju,342.53,439.14,147.71,586.85,tt6452574,496328.0,7.221,161.0,199.0,21918618.0,Blockbuster
Padmaavat,302.15,387.37,184.61,571.98,tt5935704,432527.0,6.947,163.0,284.0,31000000.0,Blockbuster
Tiger Zinda Hai,339.16,434.82,129.38,564.2,tt5956100,441909.0,6.3,160.0,159.0,19000000.0,Blockbuster
Dhoom 3,284.27,364.45,192.29,556.74,tt1833673,44977.0,6.04,171.0,288.0,19500000.0,Blockbuster
War,318.01,378.58,97.04,475.62,tt13186306,755898.0,4.247,91.0,288.0,5.0,Blockbuster
Dunki,212.42,212.42,24.15,470.6,tt15428134,960876.0,6.2,159.0,84.0,239000000.0,Blockbuster
Tiger 3,285.52,346.08,120.55,466.63,tt18411490,720557.0,5.8,155.0,51.0,36320000.0,Blockbuster
AndhaDhun,74.59,95.63,361.26,456.89,tt8108198,534780.0,7.6,139.0,555.0,4500000.0,Blockbuster
Chennai Express,227.13,315.46,109.08,424.54,tt2112124,205022.0,6.477,141.0,346.0,18000000.0,Blockbuster
Bhool Bhulaiyaa 3,283.8,334.67,89.18,423.85,tt26932223,980599.0,5.808,158.0,26.0,17600000.0,Blockbuster
Brahmastra – Part One: Shiva,257.44,306.48,112.32,418.8,tt6277462,496331.0,6.392,168.0,180.0,22000000.0,Blockbuster
3 Idiots,202.95,281.88,118.73,400.61,tt1187043,20453.0,8.0,171.0,2517.0,9000000.0,Blockbuster
Simmba,240.31,308.09,92.1,400.19,tt7212726,496524.0,6.167,159.0,87.0,5103000.0,Blockbuster
Krrish 3,244.92,340.17,53.2,393.37,tt1029231,204435.0,5.6,152.0,182.0,20000000.0,Blockbuster
Singham Again,268.35,316.45,73.19,389.64,tt11976134,1014214.0,4.759,145.0,29.0,41100000.0,Blockbuster
Kick,231.85,322.01,66.69,388.7,tt1250777,23483.0,7.124,118.0,11936.0,28000000.0,Blockbuster
Prem Ratan Dhan Payo,210.16,291.89,96.59,388.48,tt3595298,362136.0,5.395,164.0,114.0,23400000.0,Blockbuster
Happy New Year,203.0,281.94,101.16,383.1,tt2461132,277432.0,6.093,180.0,269.0,25000000.0,Blockbuster
Kabir Singh,278.24,331.24,47.78,379.02,tt8983202,577328.0,6.455,172.0,154.0,8751000.0,Blockbuster
Dilwale,148.72,206.56,170.29,376.85,tt4535650,370665.0,6.7,158.0,321.0,26000000.0,Blockbuster
Tanhaji - The Unsung Warrior,279.55,332.8,34.85,367.65,tt8108274,584850.0,6.3,135.0,77.0,16440000.0,Blockbuster
Bajirao Mastani,184.2,255.83,99.78,355.61,tt3735246,362045.0,7.3,158.0,284.0,19500000.0,Blockbuster
Rocky Aur Rani Kii Prem Kahaani,153.6,182.86,172.75,355.61,tt14993250,848116.0,6.023,179.0,64.0,6153000.0,Blockbuster
Drishyam 2,240.54,286.36,58.69,345.05,tt15501640,1029827.0,7.946,140.0,83.0,7200000.0,Blockbuster
Fighter,205.55,244.7,99.76,344.46,tt13818368,784651.0,6.2,167.0,136.0,30069500.0,Blockbuster
Uri - The Surgical Strike,245.36,289.68,52.38,342.06,tt8291224,554600.0,7.0,138.0,439.0,8391922.0,Blockbuster
The Kashmir Files,252.9,297.53,43.39,340.92,tt10811166,900783.0,7.261,170.0,69.0,85000000.0,Blockbuster
Ek Tha Tiger,198.78,276.08,58.31,334.39,tt2016894,85985.0,6.2,133.0,203.0,14040000.0,Blockbuster
Bang Bang!,181.03,251.43,81.0,332.43,tt898266,,6.04,123.0,50.0,2756895.0,Blockbuster
Bharat,211.07,251.27,74.31,325.58,tt7721800,569594.0,6.2,155.0,61.0,13650000.0,Blockbuster
Hindi Medium,69.59,96.65,225.75,322.4,tt5764096,456570.0,7.3,132.0,178.0,3213790.0,Blockbuster
Thugs Of Hindostan,151.19,193.83,128.24,322.07,tt5970844,472138.0,5.5,164.0,112.0,31000000.0,Blockbuster
Yeh Jawaani Hai Deewani,188.57,261.9,57.7,319.6,tt2178470,185008.0,7.3,160.0,274.0,7700000.0,Blockbuster
Good Newwz,205.14,244.21,74.36,318.57,tt8504014,643534.0,6.67,132.0,88.0,1400000.0,Blockbuster
Golmaal Again,205.69,263.71,47.47,311.18,tt1806913,472123.0,5.412,151.0,102.0,8400000.0,Blockbuster
Toilet - Ek Prem Katha,134.22,186.42,121.6,308.02,tt5785170,441875.0,6.802,155.0,199.0,3700000.0,Blockbuster
The Kerala Story,242.2,288.33,15.64,303.97,tt24268454,1117411.0,4.568,138.0,22.0,2400000.0,Blockbuster
Race 3,166.4,213.33,81.65,294.98,tt7431594,496320.0,3.7,160.0,75.0,1400000.0,Blockbuster
Sooryavanshi,196.0,233.33,61.58,294.91,tt9531772,592508.0,5.792,145.0,166.0,13000000.0,Blockbuster
Mission Mangal,202.98,238.8,51.79,290.59,tt9248972,611594.0,6.691,133.0,68.0,4571000.0,Blockbuster
Raees,137.51,190.99,90.45,281.44,tt3405236,363343.0,6.6,143.0,232.0,46000000.0,Blockbuster
Housefull 4,194.6,231.67,48.6,280.27,tt7721946,611748.0,5.733,142.0,88.0,18000000.0,Blockbuster
2.0,189.55,243.01,28.98,271.99,tt26342662,1071585.0,7.6,120.0,676.0,25000000.0,Blockbuster
Bhool Bhulaiyaa 2,185.92,221.33,45.55,266.88,tt6455162,695962.0,6.351,143.0,74.0,8400000.0,Blockbuster
Tanu Weds Manu Returns,150.8,209.44,45.86,255.3,tt2140465,336211.0,6.854,128.0,157.0,6153000.0,Blockbuster
Baaghi 2,164.38,210.74,43.59,254.33,tt6843812,496316.0,5.8,145.0,78.0,2710738.0,Blockbuster
Dabangg 2,155.0,215.28,38.26,253.54,tt2112131,147405.0,5.0,125.0,111.0,13650000.0,Blockbuster
Bodyguard,148.86,206.75,46.24,252.99,tt7493974,,8.0,60.0,161571.0,600000.0,Blockbuster
Ae Dil Hai Mushkil,112.48,156.22,83.45,239.67,tt4559006,393445.0,6.434,158.0,205.0,7500000.0,Blockbuster
Gully Boy,140.25,165.58,72.58,238.16,tt2395469,491625.0,7.34,156.0,188.0,5782853.0,Blockbuster
Jab Tak Hai Jaan,120.85,167.85,67.81,235.66,tt2176013,132316.0,7.066,176.0,267.0,6087315.0,Blockbuster
Dabangg 3,146.11,173.94,56.99,230.93,tt7059844,496339.0,4.9,150.0,57.0,3425875.0,Blockbuster
Total Dhamaal,154.23,182.09,46.18,228.27,tt7639372,576121.0,5.1,127.0,44.0,5782853.0,Blockbuster
My Name Is Khan,82.52,114.61,108.83,223.44,tt1188996,26022.0,8.032,165.0,1362.0,12000000.0,Blockbuster
Airlift,128.1,177.92,43.75,221.67,tt4387040,375290.0,7.103,126.0,200.0,4500000.0,Blockbuster
Badhaai Ho,137.61,176.42,45.02,221.44,tt7725596,547654.0,7.276,125.0,147.0,4000000.0,Blockbuster
Dabangg,138.88,192.89,28.25,221.14,tt1620719,44425.0,5.8,130.0,167.0,9370000.0,Blockbuster
OMG 2,150.17,178.77,42.31,221.08,tt15732324,888710.0,7.357,155.0,56.0,7500000.0,Blockbuster
Singham Returns,140.62,195.31,25.19,220.5,tt2309764,285803.0,6.1,142.0,116.0,13000000.0,Blockbuster
Tu Jhoothi Main Makkaar,149.05,177.44,42.66,220.1,tt8672856,611359.0,6.286,159.0,203.0,4300000.0,Blockbuster
Rustom,127.49,177.07,41.05,218.12,tt5165344,392572.0,6.681,148.0,124.0,6114349.0,Blockbuster
Judwaa 2,138.61,177.71,40.04,217.75,tt5456546,456565.0,5.509,150.0,108.0,10000000.0,Blockbuster
Chhichhore,153.09,182.25,33.16,215.41,tt9052870,596650.0,7.6,146.0,143.0,6825000.0,Blockbuster
M.S. Dhoni - The Untold Story,133.04,184.78,30.62,215.4,tt4169250,388333.0,7.191,190.0,179.0,4571000.0,Blockbuster
Hichki,46.21,59.24,156.06,215.3,tt6588966,493623.0,7.555,116.0,146.0,2000000.0,Blockbuster
Tubelight,119.26,165.64,45.5,211.14,tt5882970,441881.0,5.4,136.0,89.0,3000000.0,Blockbuster
Shaitaan,149.49,177.96,33.1,211.06,tt27744786,1187619.0,6.4,132.0,67.0,7800000.0,Blockbuster
Gangubai Kathiawadi,129.1,153.69,56.08,209.77,tt10083340,664332.0,7.44,157.0,166.0,12000000.0,Blockbuster
Don 2,106.71,148.21,61.34,209.55,tt1285241,41109.0,6.942,139.0,243.0,11000000.0,Blockbuster
Super 30,146.94,172.87,36.06,208.93,tt7485048,534075.0,7.232,153.0,110.0,2700000.0,Blockbuster
Kaabil,103.84,144.22,63.92,208.14,tt5460276,403867.0,6.8,139.0,136.0,5200000.0,Blockbuster
Goliyon Ki Raasleela Ram-leela,116.33,161.57,45.76,207.33,tt2215477,235984.0,6.9,155.0,186.0,1400000.0,Blockbuster
Kesari,154.41,182.3,24.79,207.09,tt6264938,498448.0,7.093,151.0,108.0,36150000.0,Blockbuster
Ra.One,114.29,158.74,45.21,203.95,tt1562871,41517.0,5.71,156.0,345.0,24000000.0,Blockbuster
Rowdy Rathore,133.25,185.07,18.32,203.39,tt2077833,102632.0,5.884,143.0,99.0,6700000.0,Blockbuster
Dream Girl,142.26,169.36,31.44,200.8,tt8993398,,8.0,1.0,21675.0,15000000.0,Blockbuster
Badrinath Ki Dulhania,116.68,162.06,38.39,200.45,tt6277440,413646.0,6.434,139.0,136.0,12500000.0,Blockbuster
Jolly LLB 2,117.0,162.5,34.84,197.34,tt5982852,412090.0,6.88,140.0,137.0,4480000.0,Blockbuster
Raazi,123.84,158.77,36.98,195.75,tt7098658,491629.0,7.22,138.0,173.0,4500000.0,Blockbuster
Jai Ho,116.0,161.11,33.93,195.04,tt1188982,244237.0,4.989,145.0,92.0,2000000.0,Blockbuster
Housefull 3,109.14,151.58,42.9,194.48,tt4559046,391779.0,5.083,140.0,102.0,13000000.0,Blockbuster
83,109.02,129.79,63.94,193.73,tt4445154,,8.0,42.0,15589.0,23400000.0,Blockbuster
Pad Man,81.82,104.9,87.05,191.95,tt7218518,447856.0,7.428,140.0,215.0,10000000.0,Blockbuster
Agneepath,115.0,159.72,30.54,190.26,tt1849718,84858.0,6.4,174.0,147.0,8700000.0,Blockbuster
Saaho,142.95,170.18,19.82,190.0,tt6836936,454292.0,5.9,171.0,100.0,51000000.0,Blockbuster
Ghajini,114.0,158.33,30.86,189.19,tt1166100,14070.0,6.998,186.0,416.0,9100000.0,Blockbuster
Barfi!,112.15,155.76,32.6,188.36,tt2082197,127501.0,7.6,151.0,335.0,4437508.0,Blockbuster
Ready,119.78,166.36,19.66,186.02,tt7798634,567609.0,7.035,95.0,4864.0,6000000.0,Blockbuster
Zero,90.28,115.74,70.26,186.0,tt23872886,,7.0,139.0,52369.0,6000000.0,Blockbuster
Kisi Ka Bhai Kisi Ki Jaan,110.53,131.58,50.86,182.44,tt3679040,966719.0,5.3,144.0,28.0,18000000.0,Blockbuster
Fan,84.1,116.81,65.52,182.33,tt3495026,377985.0,6.3,138.0,252.0,12750000.0,Blockbuster
Holiday - A Soldier Is Never Off Duty,112.45,156.18,25.26,181.44,tt2556308,273886.0,6.27,170.0,135.0,2293893.0,Blockbuster
Talaash,93.4,129.72,51.11,180.83,tt1787988,86004.0,6.787,149.0,228.0,8510000.0,Blockbuster
Stree,129.9,166.54,14.22,180.76,tt8108202,533991.0,6.9,128.0,163.0,2800000.0,Blockbuster
Adipurush,135.04,160.76,18.84,179.6,tt12915716,734253.0,4.866,179.0,97.0,63000000.0,Blockbuster
Housefull 2,106.0,147.22,31.93,179.15,tt1980986,85052.0,5.47,160.0,115.0,7100000.0,Blockbuster
2 States,102.13,141.85,35.88,177.73,tt2372678,259720.0,6.523,149.0,149.0,4587786.0,Blockbuster
Zindagi Na Milegi Dobara,90.27,125.38,49.12,174.5,tt1562872,61202.0,7.57,154.0,369.0,7700000.0,Blockbuster
Race 2,100.45,139.51,33.85,173.36,tt1375789,44749.0,5.496,150.0,112.0,12500000.0,Blockbuster
Bala,116.81,139.06,32.43,171.49,tt9420648,579230.0,6.531,133.0,81.0,3571000.0,Blockbuster
Bhaag Milkha Bhaag,108.93,151.29,18.67,169.96,tt2356180,206324.0,7.436,186.0,257.0,4600000.0,Blockbuster
Ek Villain,105.62,146.69,22.93,169.62,tt3175038,276935.0,6.5,129.0,156.0,2900000.0,Blockbuster
Golmaal 3,106.34,147.69,21.4,169.09,tt1562859,44978.0,5.4,140.0,82.0,4800000.0,Blockbuster
Welcome Back,96.69,134.29,33.08,167.37,tt72582,,6.2,179.0,50.0,2500000.0,Blockbuster
Bol Bachchan,102.94,142.97,22.71,165.68,tt1728986,112936.0,5.6,155.0,66.0,6300000.0,Blockbuster
ABCD - Any Body Can Dance - 2,105.74,146.86,14.63,161.49,tt3679000,336790.0,5.728,154.0,90.0,68000000.0,Blockbuster
Son Of Sardaar,105.03,145.88,15.6,161.48,tt29429860,1311649.0,3.8,142.0,50.0,19500000.0,Blockbuster
Crew,89.92,107.05,50.03,157.08,tt21383812,1045931.0,6.833,124.0,58.0,4375500.0,Blockbuster
Gold,104.72,134.26,20.22,154.48,tt1800302,334524.0,6.626,120.0,1676.0,20000000.0,Blockbuster
